mod_razona_cuantitat_punt,estu_genero,fami_estratovivienda,fami_tieneinternet,fami_tienecomputador,estu_pagomatricula,estu_metodo_prgm,inst_caracter_academico,inst_origen,fami_educacionpadre,fami_ocupacionpadre,fami_educacionmadre,fami_ocupacionmadre,estu_tituloobtenidobachiller,estu_horassemanatrabaja,estu_valormatriculauniversidad,fami_tieneautomovil,fami_tienemotocicleta,edad,desempeno_dicotomico
182,M,Estrato 2,Si,Si, Propios,PRESENCIAL,UNIVERSIDAD,NO OFICIAL - CORPORACIÓN,Primaria incompleta,Trabajador por cuenta propia,Educación profesional completa,Profesional Independiente,Bachiller académico,Más de 30 horas,Entre 4 millones y menos de 5.5 millones,No,No,34,0
115,F,Estrato 3,Si,Si,Creditos,PRESENCIAL,INSTITUCIÓN UNIVERSITARIA,NO OFICIAL - CORPORACIÓN,Técnica o tecnológica incompleta,Trabajador por cuenta propia,Secundaria (Bachillerato) completa,Hogar,Bachiller técnico,Más de 30 horas,Entre 2.5 millones y menos de 4 millones,Si,Si,30,1
161,M,Estrato 2,Si,Si, Propios,PRESENCIAL,INSTITUCIÓN UNIVERSITARIA,NO OFICIAL - FUNDACIÓN,Secundaria (Bachillerato) completa,Trabajador por cuenta propia,Técnica o tecnológica completa,Empleado obrero u operario,Bachiller académico,Más de 30 horas,Entre 4 millones y menos de 5.5 millones,No,No,21,0
113,F,Estrato 2,Si,Si,Creditos,PRESENCIAL,INSTITUCIÓN UNIVERSITARIA,NO OFICIAL - FUNDACIÓN,Educación profesional incompleta,Otra actividad u ocupación,Educación profesional completa,Hogar,Bachiller académico,Entre 11 y 20 horas,Entre 2.5 millones y menos de 4 millones,No,No,21,1
124,F,Estrato 3,Si,Si, Propios,PRESENCIAL,INSTITUCIÓN UNIVERSITARIA,NO OFICIAL - FUNDACIÓN,Educación profesional completa,Otra actividad u ocupación,Técnica o tecnológica incompleta,Hogar,Bachiller académico,Entre 21 y 30 horas,Entre 2.5 millones y menos de 4 millones,No,No,21,1
119,F,Estrato 1,Si,Si,Familiares,PRESENCIAL,INSTITUCIÓN UNIVERSITARIA,NO OFICIAL - FUNDACIÓN,Secundaria (Bachillerato) completa,Pensionado,Secundaria (Bachillerato) completa,Otra actividad u ocupación,Bachiller académico,0,Entre 2.5 millones y menos de 4 millones,No,Si,22,1
114,F,,Si,Si,Creditos,PRESENCIAL,INSTITUCIÓN UNIVERSITARIA,NO OFICIAL - FUNDACIÓN,Técnica o tecnológica incompleta,Trabajador por cuenta propia,Secundaria (Bachillerato) completa,Hogar,Bachiller académico,Entre 11 y 20 horas,Entre 2.5 millones y menos de 4 millones,No,Si,36,1
109,M,Estrato 2,Si,Si,Creditos,PRESENCIAL,INSTITUCIÓN UNIVERSITARIA,NO OFICIAL - FUNDACIÓN,Secundaria (Bachillerato) completa,Empleado de nivel auxiliar o administrativo,Secundaria (Bachillerato) completa,Hogar,Bachiller técnico,Más de 30 horas,Entre 2.5 millones y menos de 4 millones,No,Si,25,1
144,F,Estrato 1,Si,Si,Creditos,PRESENCIAL,INSTITUCIÓN UNIVERSITARIA,NO OFICIAL - FUNDACIÓN,Primaria incompleta,Trabajador por cuenta propia,Secundaria (Bachillerato) incompleta,Hogar,Bachiller académico,Más de 30 horas,Entre 1 millón y menos de 2.5 millones,No,Si,28,0
203,F,Estrato 2,Si,Si,Familiares,DISTANCIA VITUAL,INSTITUCIÓN UNIVERSITARIA,NO OFICIAL - FUNDACIÓN,Primaria completa,Pensionado,Primaria completa,Hogar,Bachiller académico,Más de 30 horas,Entre 2.5 millones y menos de 4 millones,Si,No,41,0
158,M,Estrato 1,Si,Si, Propios,DISTANCIA VITUAL,INSTITUCIÓN UNIVERSITARIA,NO OFICIAL - FUNDACIÓN,Secundaria (Bachillerato) completa,Trabajador por cuenta propia,Técnica o tecnológica completa,Profesional Independiente,Bachiller académico,Más de 30 horas,Entre 4 millones y menos de 5.5 millones,No,No,27,0
125,M,Estrato 2,Si,Si,Creditos,PRESENCIAL,INSTITUCIÓN UNIVERSITARIA,NO OFICIAL - CORPORACIÓN,Postgrado,Pensionado,Técnica o tecnológica completa,Hogar,Bachiller académico,Más de 30 horas,Entre 2.5 millones y menos de 4 millones,No,Si,24,1
